"period","selection_date","end_date","n_stocks","total_return","sharpe_ratio","max_drawdown","num_days","spy_return","spy_sharpe","alpha","sharpe_diff"
1,2024-01-21,2024-07-19,12,0.254732102210383,2.56085074191264,-0.0736742816228522,124,0.150409644184158,2.9131103483509,0.104322458026225,-0.352259606438258
2,2024-07-24,2025-01-20,12,0.409145802070239,3.95217251174846,-0.10094224626093,121,0.111228978385085,1.56317644205526,0.297916823685154,2.3889960696932
3,2025-01-20,2025-07-19,12,0.0525210312439675,0.217230422894717,-0.249661578132263,123,0.0468929438787291,0.310855917457311,0.00562808736523834,-0.093625494562594
4,2025-07-24,2026-01-20,12,0.260302556571433,3.07027246211235,-0.0613649731063468,121,0.096477137046133,1.73315904573303,0.1638254195253,1.33711341637933
