"ticker","sector","cumulative_return_1y","return_6m","return_3m","daily_volatility","sharpe_ratio","avg_volume","bb_position","current_price","latest_date","sector_rank","sector_size"
"ASM","Basic Materials",6.41052636862462,0.913043433191195,0.0864197440017302,0.0425999003506724,0.844098949033915,1691838.88446216,0.946538976066947,7.03999996185303,2026-01-16,1,70
"USAS","Basic Materials",4.76000001695421,1.75744692852941,0.319755645713283,0.04784091122681,0.363501236361101,618135.649402396,1.00627500535833,6.48000001907349,2026-01-16,2,70
"ALM","Basic Materials",4.75124363159483,0.913907212966939,0.0188013916696608,0.0463748843976707,0.837612995488418,231473.055776891,0.253165298086087,8.67000007629395,2026-01-16,3,70
"SBSW","Basic Materials",3.71067436160411,0.846916365492532,0.30811239133915,0.0366061446746736,0.356452971372125,5214050.83665338,0.784075551294193,16.7700004577637,2026-01-16,4,70
"IDR","Basic Materials",3.3151752687381,1.11439473680861,0.00703748873235321,0.0467944630690325,1.05045605605147,125854.700398408,0.413589732330596,44.3600006103516,2026-01-16,5,70
"GROY","Basic Materials",3.0573767976907,1.0886076153111,0.306068564403087,0.0377193565976371,0.41195160358677,972711.865793784,0.987814109385719,4.94999980926514,2026-01-16,6,70
"NGD","Basic Materials",2.9927799623729,1.57209300675091,0.47663561516579,0.0387692821007098,0.869212375875042,8725560.71713144,1.06305331206864,11.0600004196167,2026-01-16,7,70
"AU","Basic Materials",2.94075565765648,1.13041388104303,0.27376260373929,0.0292960582634431,0.91350981851069,2904205.89641435,0.906290587323222,99.0299987792969,2026-01-16,8,70
"DRD","Basic Materials",2.83099634909853,1.63563648570667,0.143939435901647,0.0315863108927938,0.819031513814427,324441.354581671,1.0068463725107,36.2400016784668,2026-01-16,9,70
"AG","Basic Materials",2.68889908838587,1.59661844122849,0.402478806718893,0.0387631679123106,0.453239336389999,9528744.14342629,1.06427166806143,21.5,2026-01-16,10,70
"SATS","Consumer Discretionary",4.28602050841474,3.30863313573175,0.704271996715762,0.043070321708916,0.789594336908991,1462196.73306771,0.793677519145786,123.269996643066,2026-01-16,1,318
"WLDN","Consumer Discretionary",2.67325660365817,0.679809138681204,0.420924021361009,0.0340101771347522,0.626849353715869,107010.199203188,1.01687888977189,133.779998779297,2026-01-16,2,318
"TPC","Consumer Discretionary",2.09155631961665,0.500713365948269,0.170832365292423,0.034783098075301,0.810748448816368,400432.908366535,0.9496932915544,75.0899963378906,2026-01-16,3,318
"WBD","Consumer Discretionary",1.93730742736883,1.24156862146714,0.562602432646299,0.0355251179694783,0.196116743162772,26276948.5258966,0.482731358945726,28.5799999237061,2026-01-16,4,318
"DAN","Consumer Discretionary",1.40735229340324,0.70553838435007,0.452678896009655,0.029773823462134,0.397212322018144,1421092.74900399,0.859339615044186,27.5300006866455,2026-01-16,5,318
"RERE","Consumer Discretionary",1.37860084404099,0.570652202433696,0.521052705878366,0.0485954326863031,0.0748828848794365,784013.292788875,0.615255146512773,5.78000020980835,2026-01-16,6,318
"SPHR","Consumer Discretionary",1.32080923766785,1.08797394202288,0.615423271507314,0.0317867708934384,0.547674662287117,701122.70199203,0.734887093218081,96.3600006103516,2026-01-16,7,318
"AGX","Consumer Discretionary",1.30292622771541,0.863622368560123,0.296865997941194,0.0287578424448014,1.20724555293749,168313.466135459,1.39385649096666,383.660003662109,2026-01-16,8,318
"VSEC","Consumer Discretionary",1.24029821910137,0.631788374491625,0.370969915920227,0.0271591214005722,1.01293954720978,112727.091633465,0.898778628129987,214.179992675781,2026-01-16,9,318
"DG","Consumer Discretionary",1.19110496116158,0.365045920938363,0.437951174869095,0.0222680411302619,0.0473757519745218,2767555.77689244,0.805227524757968,148.740005493164,2026-01-16,10,318
"MAMA","Consumer Staples",1.02542377219144,0.548596090512135,0.333953502566315,0.0366281965059888,0.970962727525996,223667.904509284,0.955868970955291,14.3400001525879,2026-01-16,1,33
"COCO","Consumer Staples",0.570088073644915,0.367211468951667,0.297310402754199,0.0349097228425645,0.864129582052461,591256.015037593,0.466439014261614,53.5400009155273,2026-01-16,2,33
"MNST","Consumer Staples",0.560279452090675,0.324915223202463,0.114167532621748,0.0149716699862567,0.589686057877594,5343612.6693227,0.826851640395705,78.1699981689453,2026-01-16,3,33
"BUD","Consumer Staples",0.500528037669108,0.00971868645448382,0.114234622598504,0.0157081850055697,0.179046550942058,1835614.02390438,0.959404028548739,68.5699996948242,2026-01-16,4,33
"ABEV","Consumer Staples",0.481422736246814,0.113459370829297,0.16143492915547,0.0192217530050604,0.195739314657156,24788642.5498008,0.808660945539467,2.58999991416931,2026-01-16,5,33
"BG","Consumer Staples",0.367215612271129,0.472099088969615,0.139219512682769,0.0185545527552526,0.524687646935697,1473804.4621514,0.979942671833967,107.809997558594,2026-01-16,6,33
"ADM","Consumer Staples",0.322979385068853,0.218847983640025,0.0449804257434439,0.0175356062073485,0.386986497412368,3334768.68525897,0.94752534842461,65.1800003051758,2026-01-16,7,33
"KOF","Consumer Staples",0.319908290549354,0.0983842333953013,0.160682932060738,0.015029568848203,0.91501482638111,169868.12749004,0.783911308372065,99.25,2026-01-16,8,33
"HSY","Consumer Staples",0.315076953985901,0.172337645280366,0.0668283158139342,0.013602897441867,0.478030275004969,1339026.45418326,0.901265910091406,197.759994506836,2026-01-16,9,33
"FMX","Consumer Staples",0.276553980746806,0.0232464274403286,0.0661633362364544,0.015881761338535,0.485219628747997,567715.856573705,0.4336573255295,101.680000305176,2026-01-16,10,33
