"ticker","max_sharpe_weight","min_variance_weight","equal_weight","sector","cumulative_return_1y","sharpe_ratio"
"BBVA",0.169862910448988,0.128073162050784,0.0833333333333333,"Finance",1.36088266337578,1.31316289295133
"TFPM",0.165723961608295,0.172463157135064,0.0833333333333333,"Industrials",1.38511835003955,1.22943646019571
"IDR",0.135556713828138,0.0689209691989363,0.0833333333333333,"Basic Materials",3.3151752687381,1.05045605605147
"AHR",0.120821717540994,0.198599571355552,0.0833333333333333,"Real Estate",0.801134802826308,2.83467039262192
"MAMA",0.107872338023594,0.0465435127770231,0.0833333333333333,"Consumer Staples",1.02542377219144,0.970962727525996
"DBD",0.0981795007994764,0.165120202152624,0.0833333333333333,"Miscellaneous",0.670889182771315,1.44982441975438
"CLS",0.0801994461090809,0.00864221917865271,0.0833333333333333,"Technology",2.04141212537276,1.60174698986962
"LQDA",0.058688104211743,0.0306148077897601,0.0833333333333333,"Health Care",2.33890857847703,1.06324553630883
"FIX",0.025477597274499,0.00620970242895749,0.0833333333333333,"Industrials",1.40967845000034,1.61152526446819
"AGX",0.0143567412996138,0.00480938502058569,0.0833333333333333,"Consumer Discretionary",1.30292622771541,1.20724555293749
"POWL",0.0117111416746845,0.0101874648048271,0.0833333333333333,"Energy",0.773150829731961,1.16816695930945
"GEV",0.0115498271808928,0.159815846107234,0.0833333333333333,"Unknown",0.787143658053211,1.97471981290586
