"ticker_a","ticker_b","correlation"
"IDR","MAMA",0.099057887431315
"IDR","POWL",0.108818402935442
"IDR","LQDA",0.168006271618645
"IDR","TFPM",0.437593579438949
"AGX","IDR",0.227762377495973
"AGX","MAMA",0.105774812438947
"AGX","POWL",0.496062590881021
"AGX","BBVA",0.22684221513398
"AGX","LQDA",0.211585572919599
"AGX","AHR",0.272846063005808
"AGX","GEV",0.579592734746971
"AGX","CLS",0.503374099539698
"AGX","DBD",0.303225746132209
"AGX","TFPM",0.202738934766901
"AGX","FIX",0.629944153990878
"MAMA","POWL",0.212970231378698
"MAMA","TFPM",0.0140831333318481
"POWL","TFPM",0.0824596682388383
"BBVA","IDR",0.0631248338707729
"BBVA","MAMA",0.0188885992028201
"BBVA","POWL",0.296441825610223
"BBVA","LQDA",0.213105183211726
"BBVA","GEV",0.287879845681093
"BBVA","CLS",0.21095682267553
"BBVA","DBD",0.351363760473756
"BBVA","TFPM",0.232234960017812
"BBVA","FIX",0.235524767141404
"LQDA","MAMA",0.0699664369700813
"LQDA","POWL",0.21235984512479
"LQDA","TFPM",0.114855477486663
"AHR","IDR",0.111958038630862
"AHR","MAMA",0.00571596589709598
"AHR","POWL",0.151244675429413
"AHR","BBVA",0.240875895846415
"AHR","LQDA",0.136385866681579
"AHR","GEV",0.235236698660248
"AHR","CLS",0.172382238360868
"AHR","DBD",0.235638694242846
"AHR","TFPM",0.219602643054879
"AHR","FIX",0.181266916431288
"GEV","IDR",0.232830495540302
"GEV","MAMA",0.138946780048053
"GEV","POWL",0.48940394594146
"GEV","LQDA",0.161203032234348
"GEV","TFPM",0.155355988753793
"CLS","IDR",0.144531759195691
"CLS","MAMA",0.181488528773432
"CLS","POWL",0.512789879403621
"CLS","LQDA",0.244462311028641
"CLS","GEV",0.622444297303255
"CLS","DBD",0.387295353126713
"CLS","TFPM",0.212062868082251
"CLS","FIX",0.63900589129301
"DBD","IDR",0.0646190281296935
"DBD","MAMA",0.183102407778184
"DBD","POWL",0.372717190930902
"DBD","LQDA",0.210403397113592
"DBD","GEV",0.363171828133312
"DBD","TFPM",0.174265724256287
"DBD","FIX",0.330633645037179
"FIX","IDR",0.142957704800137
"FIX","MAMA",0.175028391960124
"FIX","POWL",0.650889811081478
"FIX","LQDA",0.241853653892923
"FIX","GEV",0.683659568608557
"FIX","TFPM",0.140592841171494
