"ticker","sector","sharpe_ratio","avg_correlation","weight","ichimoku_signal","current_price"
"AHR","Real Estate",2.83467039262192,0.178468517840118,0.118786454481059,"NEUTRAL",48.0099983215332
"GEV","Unknown",1.97471981290586,0.359065928695581,0.00818072228292289,"BULLISH",681.549987792969
"FIX","Industrials",1.61152526446819,0.368305213218952,0.0597638859143798,"BULLISH",1119.97998046875
"CLS","Technology",1.60174698986962,0.348254004434792,0.0999000110210833,"NEUTRAL",313.600006103516
"DBD","Miscellaneous",1.44982441975438,0.27058516139588,0.0903580091600378,"BULLISH",69.9100036621094
"BBVA","Finance",1.31316289295133,0.216112609896867,0.193730646938091,"BULLISH",24.3799991607666
"TFPM","Industrials",1.22943646019571,0.18053143805452,0.134147085380472,"NEUTRAL",36.9900016784668
"AGX","Consumer Discretionary",1.20724555293749,0.341795391004726,0.000172226124348524,"BULLISH",383.660003662109
"POWL","Energy",1.16816695930945,0.326014369723262,0.00405599079326695,"BULLISH",419.980010986328
"LQDA","Health Care",1.06324553630883,0.180380640752963,0.0616996604715155,"BULLISH",37.9300003051758
"IDR","Basic Materials",1.05045605605147,0.163750943553435,0.0568737164888815,"NEUTRAL",44.3600006103516
"MAMA","Consumer Staples",0.970962727525996,0.109547561382782,0.172331590943943,"BULLISH",14.3400001525879
